label	target
تجربة مؤلمة وقاسية, فبالإضافة إلى الصدمة العاطفية, يمكن أن يسبب العنف الجسدي أضرارًا جسدية   .	1
المشكلة حينما يتحوّل هذا الغضب إلى تعبير  .	1
القتال مع العنف هو بالفعل هزيمة  .	1
الله يمهل ولا يهمل . وكل ساق سيسقى بما سقى . شكرآ رجال الشرطة.	0
الى متى هذا الوضع بسبب الاستهتار  يا أستاذ   .	1
العنف الاسري​​ الظلم يستدعي الظلم  .	1
عند وجود الأمن والأمان لا مكان للفوضى.	0
والاسعار بترتفع 10 اضعاف بالاسواق  .	0
بس  في عنا وزارة حماية المستهلك  .	0
بتدأ المارد الاخضر الفوز للموسم الجديد بحصوله على لقب الدرع الثامن فهو اكثر الفرق تحقيقا لبطوله الدرع بدون منازع .	0
0 أسمى آيات التهاني و التبريكات لأسرة نادي الوحــدات؛ إدارة ولاعبين وجمـــــــــــاهير	 
صباح الغـــد.. وما أحلى الغـــد	0
يقول الشــاعر في هذه المناسبة السعيدة:.	0
اللهم يا موفق لكل خير وفق المتفوقين والناجحين والذين لم ينجحوا إلى جمال لحظة الهدى والتقى وسلامة الصدر.	0
ورمضان فرصة، فقدِّم فيها ما يكون لك ظلاً يوم القيامة..	0
نعم للاخلاق.	0
لكن الغير مؤكد هي التبرير الذي سيطلقة المحنك حاصد البطولات(حمد)..	0
والحمدلله الذي وفقنا للوصول لهذه المرحله الممتازه.	0
و القادم هو الافضل بعون الله تعالى!	0
قانون جيد جدا وحضاري لكن للاسف لا يطبق الا على الضعيف وليس في كل الاماكن ..فعند ذهابي الى دائرة حكومية... كانت هناك لافتات بمنع التدخين ولم يكن احد من المراجعين يدخن والذي يريد التدخين يخرج من القاعة الا ان الموظفين الجاعصين على المكاتب كل منهم سيجارته بيده..هل يسمح القانون بذلك؟ و.	0
ما نتقدم باحر التهانى بمناسبة الفوز ببطولة الدرع..	0
أنت رجل شرير	1
ربنا يرحمكوا ويغفرلكوا.	0
بل ان كل مكونات الوطن و رمزياته وتاريخه هي أيضاً مستهدفة و علينا أن ندافع عنها..	0
مسلسل جيد  لكن لايخلو من بعض المبالغة.	0
أنت وأمثالك سبب تخلفنا	1
مبروك علينا الانتصارات العظيمة . والتي نرى مدى أثرها في نفوس اعداء الامة..	0
رغم اعتراضي على إضاعة الوقت والجخد والمال لمن يحاول دخول غينيس بأمور تافهة .. مثل الوقوف على رجل واحدة 80 ساعة .. إلا أن أمر إدخال الفلسطينيين للموسوع.	0
لايحق لأي شخص فرض فكره أو أسلوب تفكيره على غيره!!!.	0
عزيزي تذكر حديث الرسول المؤمن القوي خير وأحب إلى الله من المؤمن الضعيف وفي كل خير، احرص على ما ينفعك، واستعن بالله ولا تعجز، وإن أصابك شيء فلا تقل لو أني فعلت كان كذا وكذا، ولكن قل: قدر الله، وما شاء فعل؛ فإن لو تفتح عمل الشيطان  لأن المسلم لا يخلو من معروف وطاعة، وصلاح، وإن حصل منه ما يحصل من التقصير والتواني.. 	1
واشكر موقع الوحدات جو الرائع على هذه الثقة والمصداقية التي يتمتع بها.. بالتوفيق والى الامام	0
و عليه ستكون البطولات القادمة أقوى و أجمل بإذن الله تعالى.	0
بكل إحترام وتقدير للمدرب الانسان عدنان حمد اين انت من رأفت علي اللاعب الساحر الدي ابدع في مركزه وقائد محنك فهو مكسب للمنتخب ويعطي دون تعب وكلل .	0
كفاكم صخباً .. الوحدات يستحق بطولة الدرع عن جدارة بالنقاط الكاملة وبدون أي خسارة..	1
لقد امتع المارد الاخضر عشاقه باول القاب الموسم الجديد ، لم لايكون ذلك وهو سيد الاندية الاردنية ، الوحدات دمر الاندية العريقة ، واطاح بالزعيم الفرحان بلقب الدوري الذي حصل عليه بالعام الماضي بالاخطاء الوحداتية.	0
يا ابن الحمار مو هيك بتعبر عن رأيك .	1
من يأتي لقتلك اقتله أولاً  .	1
الذي جاء لقتلك بهذا المفهوم لا يشمل فقط الشاب بعمر 16 أو 18 أو 20 أو 30 عامًا والذي يوجه عليك السلاح الآن، وإنما أيضا جيل المستقبل  .	1
حاخام إسرائيلي يدعو لقتل كل أطفال ونساء غزة وإبادة الفلسطينيين عن بكرة أبيهم  .	1
عا الحاخام الإسرائيلي إلياهو مالى، إلى قتل جميع سكان قطاع غزة، حتى النساء والأطفال والمسنّين  .	1
مبروك التفوق أنت شخص عبقري وأنا أفتخر فيك  .	0
شو هاالاجرام    .	1
لعما شو هل الكديش هاد    .	1
بكرا يدفع ويطلع ههههه    .	1
الله يجيرنا و يتلطف فينا    .	0
الله يسترنا يا رب ولا يفضحنا الوضع صعب والله     .	0
حبيب شو رأيك نجتمع عن دوار الساحة      .	0
عمر المختار مسلسل جميل جدا رحم الله المخرج العقاد.	0
يا متخلف .	1
ياحسرتي  .	0
والحمدلله الذي وفقنا للوصول لهذه المرحله الممتازه.	0
و القادم هو الافضل بعون الله تعالى!	0
مساء الخير.	0
صباح الورد.	0


